category;description;alpha_carotene;beta_carotene;beta_cryptoxanthin;carbohydrate;cholesterol;choline;fiber;lutein_and_zeaxanthin;lycopene;niacin;protein;retinol;riboflavin;selenium;sugar_total;thiamin;water;fat.monosaturated_fat;fat.polysaturated_fat;fat.saturated_fat;fat.total_lipid;major_minerals.calcium;major_minerals.copper;major_minerals.iron;major_minerals.magnesium;major_minerals.phosphorus;major_minerals.potassium;major_minerals.sodium;major_minerals.zinc;vitamins.vitamin_a_-_rae;vitamins.vitamin_b12;vitamins.vitamin_b6;vitamins.vitamin_c;vitamins.vitamin_e;vitamins.vitamin_k;calories
French toast sticks;French toast sticks, whole grain;0.0;11.0;4.0;30.35;160.0;111.4;2.7;240.0;0.0;2.488;11.41;95.0;0.309;27.0;10.07;0.18;45.17;3.784;3.149;3.27;11.35;122.0;0.126;2.32;35.0;180.0;174.0;315.0;1.28;96.0;0.37;0.188;0.1;1.21;7.6;269.19
Fried bread;Fried bread, Puerto Rican style;0.0;1.0;1.0;41.73;56.0;42.3;0.5;82.0;0.0;1.0;5.03;37.0;0.186;11.4;31.28;0.134;43.86;3.139;2.868;1.637;8.27;53.0;0.05;1.19;13.0;78.0;94.0;276.0;0.53;37.0;0.22;0.06;0.0;0.89;7.1;261.47
Crepe;Crepe, NFS;0.0;2.0;3.0;21.73;139.0;101.4;0.6;184.0;0.0;1.283;8.78;92.0;0.336;19.8;4.55;0.176;57.09;4.104;2.537;3.368;10.93;97.0;0.059;1.68;16.0;155.0;165.0;283.0;0.87;92.0;0.53;0.099;0.0;0.78;3.5;220.41
Crepe;Crepe, plain;0.0;2.0;3.0;21.73;139.0;101.4;0.6;184.0;0.0;1.283;8.78;92.0;0.336;19.8;4.55;0.176;57.09;4.104;2.537;3.368;10.93;97.0;0.059;1.68;16.0;155.0;165.0;283.0;0.87;92.0;0.53;0.099;0.0;0.78;3.5;220.41
Chinese pancake;Chinese pancake;0.0;0.0;0.0;45.38;0.0;3.3;0.7;0.0;0.0;2.379;4.05;0.0;0.025;8.6;0.07;0.262;49.8;0.117;0.1;0.102;0.38;17.0;0.123;2.32;15.0;62.0;62.0;5.0;0.62;0.0;0.0;0.088;0.0;0.06;0.1;201.14
Dumpling;Dumpling, plain;0.0;1.0;0.0;20.26;2.0;6.2;0.7;4.0;0.0;1.321;3.31;14.0;0.141;8.7;1.23;0.166;71.09;1.151;0.818;0.939;3.21;141.0;0.04;1.33;9.0;90.0;64.0;428.0;0.27;14.0;0.11;0.023;0.0;0.18;1.4;123.17
Cake made with glutinous rice;Cake made with glutinous rice;0.0;0.0;0.0;53.66;0.0;2.9;1.2;0.0;0.0;0.869;2.22;0.0;0.011;5.9;31.12;0.032;37.0;0.379;0.17;5.48;6.55;24.0;0.105;0.55;19.0;56.0;85.0;35.0;0.38;0.0;0.0;0.112;0.3;0.07;0.0;282.47
Cake or pancake made with rice flour and/or dried beans;Cake or pancake made with rice flour and/or dried beans;0.0;3.0;0.0;24.98;0.0;21.7;5.8;0.0;0.0;0.676;6.36;0.0;0.04;3.5;1.85;0.122;67.21;0.09;0.142;0.056;0.35;10.0;0.141;0.89;25.0;67.0;233.0;252.0;0.86;0.0;0.0;0.042;0.2;0.04;3.1;128.51
Dosa (Indian);Dosa (Indian), plain;0.0;2.0;0.0;37.04;0.0;14.3;1.8;0.0;0.0;1.739;5.7;0.0;0.035;5.6;0.3;0.234;51.8;1.643;1.645;0.587;4.05;16.0;0.147;2.19;14.0;72.0;104.0;309.0;0.75;0.0;0.0;0.101;0.3;0.53;5.0;207.41
Cake made with glutinous rice and dried beans;Cake made with glutinous rice and dried beans;0.0;2.0;0.0;37.34;0.0;16.8;3.2;0.0;0.0;1.6;8.29;0.0;0.052;7.9;1.58;0.112;50.82;0.109;0.128;0.061;0.34;29.0;0.433;1.13;42.0;93.0;238.0;972.0;0.92;0.0;0.0;0.095;0.0;0.07;0.3;185.58
Funnel cake with sugar;Funnel cake with sugar;0.0;3.0;1.0;43.14;58.0;47.7;1.0;76.0;0.0;1.956;7.7;63.0;0.314;17.6;15.9;0.247;31.24;6.356;5.886;3.097;16.23;138.0;0.062;1.98;18.0;151.0;165.0;280.0;0.72;63.0;0.41;0.074;0.0;1.74;15.8;349.43
Funnel cake with sugar and fruit;Funnel cake with sugar and fruit;0.0;5.0;1.0;54.92;43.0;38.4;0.9;59.0;0.0;1.491;5.72;46.0;0.239;13.2;21.28;0.185;22.53;6.138;5.781;2.753;15.45;103.0;0.057;1.56;15.0;112.0;139.0;213.0;0.55;47.0;0.3;0.058;4.8;1.72;16.0;381.61
Pasta;Pasta, vegetable, cooked;0.0;55.0;0.0;26.55;0.0;5.0;4.3;13.0;244.0;1.068;4.52;0.0;0.061;19.8;1.15;0.112;68.21;0.012;0.044;0.016;0.11;11.0;0.092;0.49;19.0;50.0;31.0;99.0;0.44;5.0;0.0;0.024;0.0;0.21;0.3;125.27
Noodles;Noodles, cooked;0.0;1.0;0.0;25.01;29.0;25.5;1.2;38.0;0.0;2.065;4.51;6.0;0.135;23.8;0.4;0.287;67.33;0.578;0.549;0.417;2.06;12.0;0.097;1.46;21.0;76.0;38.0;236.0;0.65;6.0;0.09;0.046;0.0;0.17;0.0;136.62
Noodles;Noodles, whole grain, cooked;0.0;2.0;0.0;29.91;0.0;6.5;3.9;93.0;0.0;3.109;5.96;0.0;0.098;36.1;0.75;0.147;61.47;0.175;0.571;0.242;1.7;13.0;0.224;1.71;54.0;126.0;95.0;210.0;1.33;0.0;0.0;0.093;0.0;0.23;0.6;158.78
